As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status,Comments
3/30/2024,00002,1619288,4541,INR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,54851,54851.43301016485,0.43301016485202126,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1619205,5569,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,19382,19381.21821942929,-0.7817805707090884,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00003,1619288,5551,INR,ALL OTHER LOANS,INTEREST INCOME,26181,26181.89001306481,0.8900130648107734,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00003,1619205,5403,EUR,ALL OTHER LOANS,DEFERRED COSTS,60411,60410.713553036505,-0.28644696349510923,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00003,1618001,4611,EUR,MORTGAGES,DEFERRED ORIGINATION FEES,98727,98726.7745401743,-0.22545982569863554,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00001,1619288,6252,GBP,MORTGAGES,DEFERRED ORIGINATION FEES,32445,32444.240972510455,-0.7590274895446782,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00003,1618001,4779,INR,CREDIT CARDS,PRINCIPAL,94828,94827.0085263624,-0.9914736375940265,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00000,1623456,5893,USD,ALL OTHER LOANS,DEFERRED COSTS,74647,74646.30126720385,-0.6987327961542178,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00001,1619205,4449,GBP,ALL OTHER LOANS,INTEREST INCOME,26458,26458.59940939718,0.5994093971785333,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00000,1618001,6942,INR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,81570,81569.92571823682,-0.07428176318353508,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00000,1618001,4675,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,62751,62751.97980948874,0.9798094887373736,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00001,1619288,6640,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,46515,46514.208021738574,-0.7919782614262658,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00003,1619205,6063,GBP,MORTGAGES,PRINCIPAL,62203,62203.01518354036,0.01518354035943048,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00001,1619205,6562,EUR,CREDIT CARDS,PRINCIPAL,30760,30759.100152616265,-0.8998473837345955,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00000,1619205,5509,GBP,CREDIT CARDS,INTEREST INCOME,86352,86352.40918116597,0.4091811659745872,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00002,1619205,4842,INR,ALL OTHER LOANS,INTEREST INCOME,20452,20451.49151770638,-0.5084822936187265,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00003,1619288,6254,EUR,CREDIT CARDS,DEFERRED ORIGINATION FEES,50145,50144.505538305995,-0.4944616940047126,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00002,1619288,5280,INR,ALL OTHER LOANS,PRINCIPAL,50122,50121.491786919934,-0.5082130800656159,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00002,1618001,4598,GBP,ALL OTHER LOANS,INTEREST INCOME,23634,23634.15799577467,0.15799577466896153,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00002,1619205,6466,INR,MORTGAGES,PRINCIPAL,69336,69336.69167394875,0.691673948749667,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00000,1619205,6515,EUR,CREDIT CARDS,PRINCIPAL,86267,86267.7268318007,0.726831800697255,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00003,1619205,5778,GBP,MORTGAGES,INTEREST INCOME,64886,64885.126985894014,-0.8730141059859307,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00000,1619288,5540,INR,MORTGAGES,INTEREST INCOME,15608,15608.729515502873,0.7295155028732552,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00002,1623456,4904,GBP,ALL OTHER LOANS,INTEREST INCOME,66120,66119.65734073865,-0.34265926135412883,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00000,1619205,6006,USD,MORTGAGES,PRINCIPAL,23023,23023.672039736222,0.6720397362223594,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00000,1623456,4828,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,10902,10902.785638819307,0.7856388193067687,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00001,1618001,6088,INR,MORTGAGES,DEFERRED COSTS,93324,93323.69522697506,-0.3047730249381857,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00003,1619205,4525,INR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,37827,37827.72875796202,0.7287579620169709,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00000,1623456,4855,INR,CREDIT CARDS,DEFERRED COSTS,88795,88795.34233199395,0.34233199394657277,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00001,1619205,6722,USD,CREDIT CARDS,INTEREST INCOME,83548,83547.02132800948,-0.9786719905241625,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00003,1619205,5888,EUR,CREDIT CARDS,DEFERRED ORIGINATION FEES,87886,87886.30665007305,0.30665007304924075,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00003,1619205,4913,INR,ALL OTHER LOANS,PRINCIPAL,75977,75976.99472457344,-0.005275426563457586,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00001,1623456,5988,GBP,ALL OTHER LOANS,DEFERRED COSTS,96534,96534.77359129876,0.7735912987554912,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00000,1623456,4342,USD,MORTGAGES,DEFERRED ORIGINATION FEES,93925,93925.3951847838,0.3951847838034155,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00000,1619205,6836,GBP,CREDIT CARDS,INTEREST INCOME,17929,17928.77301502375,-0.22698497624878655,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00002,1619288,4802,USD,CREDIT CARDS,DEFERRED ORIGINATION FEES,20301,20301.917154906525,0.9171549065249565,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1618001,5784,USD,MORTGAGES,PRINCIPAL,68399,68399.44109878787,0.44109878786548506,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00002,1618001,4325,USD,MORTGAGES,PRINCIPAL,69639,69638.5970660924,-0.4029339075932512,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00001,1619205,4153,GBP,MORTGAGES,PRINCIPAL,39059,39059.63793103668,0.6379310366828577,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00001,1619205,5241,INR,CREDIT CARDS,INTEREST INCOME,70300,70300.08315136848,0.08315136848250404,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00001,1619205,4193,EUR,ALL OTHER LOANS,DEFERRED COSTS,14857,14856.94405246332,-0.055947536680832854,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00002,1619288,6905,USD,MORTGAGES,INTEREST INCOME,51279,51279.55856755185,0.5585675518523203,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00003,1619288,6970,GBP,ALL OTHER LOANS,PRINCIPAL,35746,35745.725895611606,-0.2741043883943348,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00002,1619205,6381,USD,MORTGAGES,DEFERRED ORIGINATION FEES,85953,85953.99686052412,0.9968605241156183,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00001,1623456,6899,INR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,97641,97641.22439321617,0.22439321616548114,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00001,1618001,5079,INR,ALL OTHER LOANS,PRINCIPAL,45321,45321.30297612404,0.3029761240395601,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00003,1619205,6718,INR,MORTGAGES,DEFERRED COSTS,10008,10007.925278315155,-0.07472168484491704,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00001,1619288,5041,EUR,ALL OTHER LOANS,PRINCIPAL,32710,32710.46514373952,0.4651437395186804,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00000,1623456,6627,INR,CREDIT CARDS,DEFERRED ORIGINATION FEES,88300,88299.09364718947,-0.9063528105325531,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00000,1619288,6428,USD,CREDIT CARDS,INTEREST INCOME,49790,49790.82086984239,0.8208698423914029,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00003,1619205,4815,GBP,CREDIT CARDS,INTEREST INCOME,15805,15804.924926639731,-0.07507336026901612,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00000,1619205,4922,GBP,MORTGAGES,DEFERRED ORIGINATION FEES,86125,86125.5483798617,0.5483798617060529,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00003,1619288,6859,INR,MORTGAGES,DEFERRED ORIGINATION FEES,11664,11664.132710945893,0.13271094589254062,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00001,1619205,5098,EUR,CREDIT CARDS,PRINCIPAL,79257,79257.73586276316,0.7358627631620038,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00001,1623456,4163,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,80548,80548.98228848347,0.9822884834720753,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00000,1618001,5092,INR,MORTGAGES,INTEREST INCOME,47741,47741.827207210394,0.8272072103936807,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00001,1618001,5047,GBP,CREDIT CARDS,INTEREST INCOME,31194,31194.197826970536,0.19782697053597076,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00003,1619288,4093,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,18290,18289.68876611919,-0.3112338808095956,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00003,1619205,5673,INR,MORTGAGES,PRINCIPAL,14382,14382.276469531038,0.2764695310379466,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00000,1623456,4994,USD,ALL OTHER LOANS,PRINCIPAL,71189,71188.97167954128,-0.028320458717644215,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00000,1619288,6125,GBP,MORTGAGES,DEFERRED ORIGINATION FEES,48837,48836.59693845557,-0.40306154442805564,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00003,1619288,5576,EUR,MORTGAGES,PRINCIPAL,74400,74399.4318727574,-0.5681272426008945,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00001,1619288,4109,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49488,49487.755356231784,-0.24464376821561018,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00003,1623456,6464,INR,MORTGAGES,INTEREST INCOME,15987,15987.978085346613,0.9780853466127155,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00002,1619288,4905,GBP,MORTGAGES,PRINCIPAL,44447,44447.91806607315,0.9180660731508397,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00002,1619288,6020,INR,CREDIT CARDS,DEFERRED COSTS,82064,82064.17760142447,0.1776014244678663,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00001,1618001,5848,INR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,47338,47337.78511287607,-0.2148871239332948,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00001,1623456,4095,GBP,CREDIT CARDS,DEFERRED ORIGINATION FEES,89285,89284.43215462261,-0.5678453773871297,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00000,1623456,5784,USD,MORTGAGES,DEFERRED COSTS,61326,61325.2900314608,-0.7099685392022366,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00003,1619288,4384,USD,CREDIT CARDS,DEFERRED ORIGINATION FEES,69037,69036.46646537916,-0.5335346208448755,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00003,1619205,5295,USD,MORTGAGES,INTEREST INCOME,92613,92612.52789055633,-0.47210944366815966,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00003,1619288,6531,INR,CREDIT CARDS,DEFERRED COSTS,84482,84482.02412198631,0.02412198630918283,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00000,1619288,4898,EUR,CREDIT CARDS,PRINCIPAL,41738,41738.72551857566,0.7255185756584979,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00002,1623456,4476,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,39894,39893.474138797355,-0.5258612026445917,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00001,1619205,4213,INR,MORTGAGES,DEFERRED COSTS,10761,10760.793621551295,-0.2063784487054363,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00003,1619288,4015,EUR,MORTGAGES,INTEREST INCOME,92610,92609.33692081376,-0.6630791862407932,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00003,1619205,6368,INR,MORTGAGES,PRINCIPAL,54735,54734.46276266562,-0.5372373343780055,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00001,1623456,6655,GBP,MORTGAGES,PRINCIPAL,14200,14199.913161622324,-0.08683837767603109,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00000,1618001,5272,EUR,MORTGAGES,DEFERRED ORIGINATION FEES,92411,92410.77735338072,-0.2226466192805674,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00001,1618001,6036,INR,ALL OTHER LOANS,DEFERRED COSTS,76813,76813.36895833677,0.3689583367668092,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00000,1618001,5368,USD,MORTGAGES,DEFERRED ORIGINATION FEES,10983,10983.25614730646,0.25614730645975214,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00001,1623456,6522,GBP,CREDIT CARDS,PRINCIPAL,85243,85242.41002961741,-0.5899703825853067,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00003,1619288,6906,EUR,CREDIT CARDS,INTEREST INCOME,31308,31308.524717226515,0.5247172265153495,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00003,1623456,5686,USD,MORTGAGES,DEFERRED COSTS,20001,20001.67646942699,0.6764694269913889,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00001,1619205,6733,USD,CREDIT CARDS,DEFERRED ORIGINATION FEES,50556,50555.85983653949,-0.14016346051357687,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00001,1619205,4556,GBP,ALL OTHER LOANS,INTEREST INCOME,54632,54632.442393946854,0.44239394685428124,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00002,1618001,5266,GBP,CREDIT CARDS,INTEREST INCOME,16364,16364.258154521356,0.2581545213561185,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00002,1619288,4258,USD,CREDIT CARDS,DEFERRED ORIGINATION FEES,48636,48635.86810017901,-0.13189982098992914,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00001,1619205,4532,GBP,CREDIT CARDS,PRINCIPAL,47697,47696.69342891695,-0.306571083048766,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00000,1618001,6810,INR,CREDIT CARDS,DEFERRED COSTS,33553,33552.38241966416,-0.6175803358419216,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1618001,5606,GBP,ALL OTHER LOANS,PRINCIPAL,55881,55881.77872331661,0.7787233166091028,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00000,1618001,6896,EUR,CREDIT CARDS,INTEREST INCOME,10499,10499.171052722588,0.17105272258777404,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00001,1623456,4127,USD,CREDIT CARDS,DEFERRED COSTS,47675,47675.38135478375,0.381354783748975,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1623456,5323,USD,MORTGAGES,INTEREST INCOME,54800,54800.49088634431,0.49088634431245737,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00000,1618001,6948,INR,ALL OTHER LOANS,DEFERRED COSTS,27813,27812.863944430414,-0.13605556958646048,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00002,1619205,4941,INR,CREDIT CARDS,PRINCIPAL,89365,89365.98006648743,0.9800664874346694,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00002,1619288,6080,EUR,MORTGAGES,DEFERRED COSTS,98717,98717.58946400638,0.5894640063779661,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00000,1618001,5892,USD,MORTGAGES,DEFERRED ORIGINATION FEES,40457,40457.05456269288,0.05456269287969917,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00001,1619205,5491,EUR,CREDIT CARDS,DEFERRED COSTS,29876,29876.375839938733,0.3758399387334066,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00002,1618001,5477,USD,ALL OTHER LOANS,PRINCIPAL,90059,90058.48264115182,-0.5173588481848128,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00002,1619205,5107,GBP,MORTGAGES,INTEREST INCOME,50189,50189.81119728569,0.811197285693197,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00002,1623456,5079,USD,ALL OTHER LOANS,INTEREST INCOME,41228,41228.337919363556,0.33791936355555663,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00000,1619205,5749,USD,MORTGAGES,PRINCIPAL,75605,75604.28850029997,-0.7114997000317089,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00003,1619205,6169,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,19918,19918.806624732893,0.8066247328933969,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00001,1619288,5829,INR,MORTGAGES,INTEREST INCOME,62758,62758.060927893916,0.06092789391550468,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00000,1618001,5716,EUR,ALL OTHER LOANS,INTEREST INCOME,39060,39059.290390319686,-0.7096096803143155,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00003,1623456,4380,GBP,CREDIT CARDS,DEFERRED ORIGINATION FEES,75424,75423.48658126772,-0.5134187322837533,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00002,1619205,6030,INR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,31559,31558.96101397014,-0.038986029860097915,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00002,1618001,5343,USD,CREDIT CARDS,INTEREST INCOME,13370,13370.075818584797,0.07581858479716175,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1619205,4571,GBP,MORTGAGES,INTEREST INCOME,16452,16452.8685298048,0.868529804800346,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00003,1618001,6147,EUR,MORTGAGES,PRINCIPAL,58203,58202.05522061849,-0.9447793815124896,Match,Difference is within tolerance (less than 1 USD)
